user_id,signup_date,signup_month,channel,state,segment,age,gender,plan,activated,last_active_date,months_observed,is_churned,churn_risk_score,days_since_active
SD000027,2024-04-01,2024-04,Facebook Ads,Lagos,Individual Sender,47,Male,Starter,0,2024-04-01,6,1,100,182
SD000028,2024-02-09,2024-02,Word of Mouth,Abuja,E-commerce Seller,52,Male,Business Pro,1,2024-04-07,7,1,100,176
SD000029,2024-07-15,2024-07,Instagram,Abuja,Individual Sender,51,Female,Starter,0,2024-07-15,2,1,98,77
SD000030,2024-08-29,2024-08,Google Ads,Lagos,Small Business,50,Male,Business Pro,0,2024-09-03,1,0,51,27
SD000031,2024-08-31,2024-08,Word of Mouth,Lagos,Freelancer,26,Female,Starter,0,2024-09-01,1,0,54,29
SD000032,2024-03-01,2024-03,Referral,Delta,E-commerce Seller,53,Male,Business Pro,1,2024-06-01,7,1,99,121
SD000033,2023-10-09,2023-10,Google Ads,Lagos,Individual Sender,51,Female,Starter,1,2024-05-17,11,1,100,136
SD000034,2024-04-30,2024-04,Referral,Lagos,Small Business,20,Male,Starter,0,2024-04-30,5,1,100,153
SD000035,2024-06-03,2024-06,Word of Mouth,Rivers,Small Business,29,Female,Starter,1,2024-06-27,3,1,92,95
SD000036,2023-10-14,2023-10,Instagram,Lagos,Corporate,20,Male,Business Pro,1,2023-10-21,11,1,100,345
SD000037,2023-11-15,2023-11,Google Ads,Oyo,Corporate,49,Male,Business Pro,1,2023-11-18,10,1,100,317
SD000038,2024-04-17,2024-04,Word of Mouth,Anambra,Small Business,50,Male,Starter,1,2024-04-20,5,1,100,163
SD000039,2023-12-09,2023-12,App Store,Imo,Freelancer,35,Male,Starter,0,2023-12-11,9,1,100,294
SD000040,2024-01-16,2024-01,Referral,Oyo,E-commerce Seller,25,Female,Business Pro,1,2024-01-21,8,1,100,253
SD000041,2023-12-24,2023-12,Referral,Lagos,Small Business,29,Male,Starter,0,2023-12-24,9,1,100,281
SD000042,2023-10-26,2023-10,Referral,Abuja,Corporate,34,Male,Enterprise,0,2023-10-31,11,1,100,335
SD000043,2024-06-13,2024-06,Google Ads,Abuja,Individual Sender,44,Female,Starter,0,2024-06-17,3,1,100,105
SD000044,2024-08-03,2024-08,Instagram,Lagos,Small Business,46,Male,Starter,0,2024-08-06,1,1,74,55
SD000045,2024-06-16,2024-06,Referral,Kano,E-commerce Seller,37,Female,Business Pro,1,2024-07-05,3,1,79,87
SD000046,2023-11-22,2023-11,Instagram,Lagos,Freelancer,50,Male,Starter,0,2023-11-26,10,1,100,309
SD000047,2024-04-30,2024-04,Referral,Oyo,Individual Sender,38,Male,Starter,0,2024-05-04,5,1,100,149
SD000048,2024-02-19,2024-02,Google Ads,Imo,E-commerce Seller,38,Female,Starter,1,2024-03-04,7,1,100,210
SD000049,2024-01-05,2024-01,Facebook Ads,Oyo,E-commerce Seller,21,Male,Starter,1,2024-02-22,8,1,100,221
SD000050,2024-06-06,2024-06,Referral,Kaduna,Individual Sender,24,Female,Starter,0,2024-06-06,3,1,100,116
SD000051,2023-10-10,2023-10,App Store,Lagos,Freelancer,29,Male,Starter,1,2024-05-07,11,1,100,146
SD000052,2023-11-16,2023-11,Google Ads,Edo,E-commerce Seller,26,Female,Starter,1,2023-12-02,10,1,100,303
SD000053,2024-01-13,2024-01,Word of Mouth,Abuja,Individual Sender,25,Female,Starter,1,2024-02-06,8,1,100,237
SD000054,2024-05-05,2024-05,Word of Mouth,Kano,Freelancer,30,Male,Starter,0,2024-05-05,4,1,100,148
SD000055,2024-04-14,2024-04,Referral,Delta,Individual Sender,38,Male,Starter,1,2024-08-26,5,0,31,35
SD000056,2024-06-07,2024-06,Instagram,Rivers,Individual Sender,54,Male,Starter,0,2024-06-12,3,1,100,110
SD000057,2024-04-23,2024-04,Instagram,Abuja,Small Business,32,Male,Starter,0,2024-04-28,5,1,100,155
SD000058,2024-05-07,2024-05,Word of Mouth,Lagos,Small Business,36,Female,Business Pro,1,2024-08-14,4,1,34,47
SD000059,2023-11-14,2023-11,App Store,Kano,E-commerce Seller,53,Male,Starter,1,2024-02-22,10,1,100,221
SD000060,2024-03-10,2024-03,Facebook Ads,Imo,Corporate,32,Male,Enterprise,1,2024-04-03,6,1,100,180
SD000061,2024-02-21,2024-02,Referral,Lagos,Individual Sender,43,Female,Starter,0,2024-02-26,7,1,100,217
SD000062,2024-06-01,2024-06,Instagram,Abuja,E-commerce Seller,53,Male,Starter,1,2024-06-13,4,1,100,109
SD000063,2024-06-15,2024-06,Instagram,Edo,Small Business,54,Male,Starter,0,2024-06-18,3,1,100,104
SD000064,2024-02-08,2024-02,Word of Mouth,Kaduna,E-commerce Seller,44,Male,Business Pro,1,2024-03-02,7,1,100,212
SD000065,2024-07-14,2024-07,Google Ads,Abuja,Small Business,39,Female,Starter,0,2024-07-14,2,1,91,78
SD000066,2024-02-18,2024-02,Facebook Ads,Delta,Individual Sender,26,Male,Starter,1,2024-02-22,7,1,100,221
SD000067,2023-12-10,2023-12,Google Ads,Abuja,E-commerce Seller,43,Male,Starter,1,2024-03-04,9,1,100,210
SD000068,2023-10-26,2023-10,Word of Mouth,Abuja,Small Business,33,Female,Starter,1,2023-11-21,11,1,100,314
SD000069,2024-07-28,2024-07,Google Ads,Delta,Small Business,55,Male,Starter,1,2024-08-16,2,0,50,45
SD000070,2024-07-23,2024-07,Google Ads,Oyo,Small Business,23,Female,Starter,1,2024-08-08,2,1,56,53
SD000071,2023-10-12,2023-10,TikTok Ads,Lagos,Small Business,27,Female,Starter,1,2023-11-01,11,1,100,334
SD000072,2023-12-05,2023-12,Word of Mouth,Imo,Small Business,37,Male,Starter,1,2024-05-28,10,1,100,125
SD000073,2023-12-22,2023-12,Google Ads,Anambra,Small Business,41,Male,Business Pro,0,2024-04-21,9,1,100,162
SD000074,2024-06-21,2024-06,Google Ads,Abuja,Individual Sender,44,Female,Starter,0,2024-06-21,3,1,100,101
SD000075,2024-03-02,2024-03,Instagram,Abuja,E-commerce Seller,25,Female,Business Pro,1,2024-03-13,7,1,100,201
SD000076,2024-05-20,2024-05,Google Ads,Abuja,Corporate,20,Male,Business Pro,1,2024-08-19,4,0,19,42
SD000077,2024-05-18,2024-05,Instagram,Lagos,Small Business,29,Male,Starter,1,2024-08-31,4,0,39,30
SD000078,2024-04-25,2024-04,Referral,Abuja,Individual Sender,54,Female,Starter,0,2024-04-25,5,1,100,158
SD000079,2024-05-08,2024-05,Google Ads,Oyo,Individual Sender,20,Male,Starter,0,2024-05-08,4,1,100,145
SD000080,2023-10-17,2023-10,Referral,Abuja,Individual Sender,44,Male,Starter,1,2024-07-07,11,1,76,85
SD000081,2023-12-04,2023-12,Word of Mouth,Anambra,E-commerce Seller,22,Female,Business Pro,0,2023-12-09,10,1,100,296
SD000082,2024-02-11,2024-02,TikTok Ads,Abuja,Individual Sender,36,Male,Starter,1,2024-04-01,7,1,100,182
SD000083,2023-12-29,2023-12,Facebook Ads,Oyo,Individual Sender,54,Male,Starter,1,2024-01-26,9,1,100,248
SD000084,2023-11-14,2023-11,Referral,Abuja,E-commerce Seller,24,Female,Starter,1,2024-02-13,10,1,100,230
SD000085,2024-07-08,2024-07,Facebook Ads,Kano,Corporate,44,Male,Business Pro,1,2024-07-24,2,1,55,68
SD000086,2023-11-06,2023-11,Word of Mouth,Oyo,Freelancer,31,Male,Starter,0,2023-11-11,10,1,100,324
SD000087,2024-06-03,2024-06,Referral,Rivers,Individual Sender,33,Female,Starter,0,2024-06-07,3,1,100,115
SD000088,2024-07-17,2024-07,Word of Mouth,Lagos,Small Business,40,Female,Starter,0,2024-07-19,2,1,85,73
SD000089,2024-05-28,2024-05,Word of Mouth,Oyo,Freelancer,34,Female,Starter,0,2024-05-29,4,1,100,124
SD000090,2024-06-05,2024-06,Google Ads,Delta,E-commerce Seller,47,Female,Business Pro,1,2024-06-23,3,1,91,99
SD000091,2024-04-15,2024-04,Facebook Ads,Lagos,Small Business,55,Female,Starter,1,2024-05-10,5,1,100,143
SD000092,2024-01-09,2024-01,TikTok Ads,Edo,Small Business,45,Female,Starter,0,2024-01-14,8,1,100,260
SD000093,2023-11-19,2023-11,Word of Mouth,Abuja,E-commerce Seller,33,Male,Business Pro,1,2023-12-14,10,1,100,291
SD000094,2024-08-10,2024-08,Facebook Ads,Abuja,E-commerce Seller,39,Male,Business Pro,1,2024-08-30,1,0,18,31
SD000095,2024-03-18,2024-03,Word of Mouth,Imo,Small Business,41,Male,Business Pro,1,2024-04-07,6,1,100,176
SD000096,2024-05-07,2024-05,App Store,Lagos,Individual Sender,32,Male,Starter,1,2024-05-23,4,1,100,130
SD000097,2024-06-13,2024-06,App Store,Oyo,Corporate,42,Female,Business Pro,1,2024-08-07,3,1,36,54
SD000098,2024-08-25,2024-08,Google Ads,Abuja,Freelancer,33,Male,Starter,1,2024-09-02,1,0,25,28
SD000099,2024-03-30,2024-03,Facebook Ads,Lagos,Small Business,34,Female,Business Pro,0,2024-03-31,6,1,100,183
SD000100,2024-03-25,2024-03,Instagram,Kano,E-commerce Seller,29,Male,Starter,1,2024-04-20,6,1,100,163
SD000101,2024-02-13,2024-02,TikTok Ads,Lagos,Individual Sender,53,Male,Starter,0,2024-02-16,7,1,100,227
SD000102,2024-02-27,2024-02,Instagram,Kaduna,Individual Sender,39,Male,Starter,1,2024-03-13,7,1,100,201
SD000103,2024-01-31,2024-01,Word of Mouth,Lagos,Corporate,26,Male,Enterprise,1,2024-03-16,8,1,100,198
SD000104,2024-07-27,2024-07,Instagram,Delta,E-commerce Seller,24,Male,Starter,1,2024-09-03,2,0,14,27
SD000105,2024-02-26,2024-02,Facebook Ads,Oyo,Small Business,31,Female,Starter,1,2024-02-26,7,1,100,217
SD000106,2024-02-29,2024-02,Word of Mouth,Anambra,E-commerce Seller,46,Female,Business Pro,1,2024-05-12,7,1,100,141
SD000107,2024-06-23,2024-06,Google Ads,Kaduna,Small Business,53,Female,Business Pro,0,2024-06-27,3,1,100,95
SD000108,2024-05-04,2024-05,App Store,Kano,Individual Sender,45,Male,Starter,1,2024-07-31,4,1,60,61
SD000109,2023-11-22,2023-11,Word of Mouth,Oyo,Small Business,48,Male,Starter,0,2023-11-26,10,1,100,309
SD000110,2024-03-31,2024-03,Referral,Abuja,Individual Sender,50,Male,Starter,1,2024-07-14,6,1,75,78
SD000111,2024-04-13,2024-04,Instagram,Abuja,Freelancer,30,Male,Starter,1,2024-04-25,5,1,100,158
SD000112,2024-04-16,2024-04,Google Ads,Lagos,Freelancer,55,Male,Starter,0,2024-04-19,5,1,100,164
SD000113,2024-08-09,2024-08,App Store,Lagos,E-commerce Seller,36,Male,Starter,0,2024-08-09,1,1,61,52
SD000114,2024-07-31,2024-07,TikTok Ads,Rivers,Corporate,39,Male,Business Pro,1,2024-08-09,2,1,44,52
SD000115,2024-05-12,2024-05,TikTok Ads,Anambra,Small Business,52,Male,Starter,1,2024-07-08,4,1,83,84
SD000116,2024-05-14,2024-05,Word of Mouth,Anambra,Individual Sender,21,Female,Starter,1,2024-07-01,4,1,91,91
SD000117,2023-11-09,2023-11,Google Ads,Imo,Small Business,44,Male,Starter,0,2023-11-11,10,1,100,324
SD000118,2024-04-09,2024-04,App Store,Lagos,E-commerce Seller,37,Male,Business Pro,0,2024-04-13,5,1,100,170
SD000119,2023-11-26,2023-11,Instagram,Lagos,Small Business,42,Female,Starter,1,2023-12-07,10,1,100,298
SD000120,2023-12-14,2023-12,TikTok Ads,Edo,Individual Sender,27,Female,Starter,0,2023-12-17,9,1,100,288
SD000121,2023-12-13,2023-12,Word of Mouth,Kano,Freelancer,30,Female,Starter,0,2024-07-11,9,1,85,81
SD000122,2024-06-09,2024-06,TikTok Ads,Kano,Individual Sender,38,Male,Starter,1,2024-06-19,3,1,100,103
SD000123,2024-03-31,2024-03,Instagram,Delta,E-commerce Seller,25,Male,Business Pro,1,2024-04-28,6,1,100,155
SD000124,2024-02-09,2024-02,Instagram,Rivers,Individual Sender,28,Male,Starter,1,2024-02-14,7,1,100,229
SD000125,2024-03-17,2024-03,TikTok Ads,Abuja,Individual Sender,47,Male,Starter,1,2024-04-08,6,1,100,175
SD000126,2023-10-13,2023-10,Word of Mouth,Kano,Corporate,50,Male,Enterprise,0,2023-10-17,11,1,100,349
SD000127,2023-11-21,2023-11,Referral,Imo,Small Business,52,Female,Business Pro,1,2024-01-10,10,1,100,264
SD000128,2024-05-09,2024-05,App Store,Oyo,Individual Sender,34,Male,Starter,1,2024-07-14,4,1,74,78
SD000129,2024-08-22,2024-08,App Store,Kano,Corporate,22,Female,Business Pro,1,2024-09-06,1,0,2,24
SD000130,2023-11-24,2023-11,Facebook Ads,Abuja,E-commerce Seller,47,Female,Business Pro,0,2023-11-24,10,1,100,311
SD000131,2023-11-16,2023-11,Instagram,Rivers,Small Business,21,Female,Business Pro,0,2023-11-16,10,1,100,319
SD000132,2024-04-01,2024-04,Google Ads,Kano,Corporate,51,Male,Business Pro,1,2024-04-15,6,1,100,168
SD000133,2024-02-20,2024-02,Word of Mouth,Lagos,Individual Sender,45,Female,Starter,0,2024-02-24,7,1,100,219
SD000134,2023-11-09,2023-11,Referral,Abuja,Small Business,32,Male,Business Pro,0,2023-11-13,10,1,100,322
SD000135,2024-04-03,2024-04,Word of Mouth,Abuja,Corporate,53,Male,Enterprise,1,2024-05-10,6,1,100,143
SD000136,2024-07-26,2024-07,Referral,Imo,E-commerce Seller,22,Female,Business Pro,1,2024-08-16,2,0,40,45
SD000137,2024-07-22,2024-07,Referral,Abuja,Small Business,30,Male,Business Pro,1,2024-07-27,2,1,63,65
SD000138,2024-07-13,2024-07,Google Ads,Lagos,Small Business,33,Female,Starter,0,2024-07-15,2,1,91,77
SD000139,2024-03-28,2024-03,Referral,Rivers,Small Business,39,Male,Starter,1,2024-03-29,6,1,100,185
SD000140,2024-07-06,2024-07,App Store,Abuja,E-commerce Seller,54,Male,Business Pro,0,2024-07-06,2,1,89,86
SD000141,2024-06-24,2024-06,Word of Mouth,Abuja,Small Business,32,Female,Starter,0,2024-06-26,3,1,100,96
SD000142,2024-08-22,2024-08,Referral,Abuja,Individual Sender,48,Female,Starter,0,2024-08-27,1,0,60,34
SD000143,2024-06-02,2024-06,Instagram,Kano,Small Business,35,Female,Starter,1,2024-07-05,4,1,84,87
SD000144,2024-07-06,2024-07,Instagram,Abuja,Individual Sender,50,Male,Starter,0,2024-07-09,2,1,100,83
SD000145,2024-04-14,2024-04,Word of Mouth,Lagos,E-commerce Seller,46,Female,Business Pro,1,2024-07-31,5,1,44,61
SD000146,2024-05-24,2024-05,Word of Mouth,Anambra,Individual Sender,26,Male,Starter,1,2024-08-03,4,1,57,58
SD000147,2023-12-26,2023-12,App Store,Kano,Freelancer,27,Male,Starter,1,2024-01-15,9,1,100,259
SD000148,2024-06-11,2024-06,Google Ads,Edo,Individual Sender,34,Male,Starter,1,2024-06-20,3,1,100,102
SD000149,2024-06-16,2024-06,Facebook Ads,Lagos,Individual Sender,40,Male,Starter,1,2024-07-09,3,1,93,83
SD000150,2024-02-12,2024-02,Google Ads,Oyo,Small Business,41,Male,Starter,0,2024-02-15,7,1,100,228
SD000151,2024-04-05,2024-04,Referral,Abuja,Small Business,40,Male,Starter,0,2024-04-06,5,1,100,177
SD000152,2023-10-16,2023-10,Word of Mouth,Abuja,Small Business,22,Male,Business Pro,1,2024-04-13,11,1,100,170
SD000153,2024-07-12,2024-07,Referral,Rivers,Small Business,35,Female,Business Pro,1,2024-08-05,2,1,56,56
SD000154,2024-08-03,2024-08,Instagram,Lagos,Individual Sender,21,Female,Starter,1,2024-08-16,1,0,43,45
SD000155,2023-11-16,2023-11,Word of Mouth,Lagos,Small Business,33,Female,Starter,0,2023-11-21,10,1,100,314
SD000156,2024-05-06,2024-05,Instagram,Imo,E-commerce Seller,34,Female,Business Pro,1,2024-05-25,4,1,100,128
SD000157,2024-06-06,2024-06,Facebook Ads,Oyo,Individual Sender,35,Male,Starter,0,2024-06-08,3,1,100,114
SD000158,2024-03-18,2024-03,App Store,Lagos,Individual Sender,35,Female,Starter,0,2024-09-08,6,0,46,22
SD000159,2023-11-29,2023-11,App Store,Lagos,E-commerce Seller,41,Male,Business Pro,1,2024-02-12,10,1,100,231
SD000160,2024-07-31,2024-07,Google Ads,Oyo,Small Business,51,Female,Business Pro,1,2024-08-05,2,1,59,56
SD000161,2024-04-22,2024-04,Referral,Imo,Individual Sender,50,Female,Starter,1,2024-08-03,5,1,55,58
SD000162,2023-12-17,2023-12,Google Ads,Lagos,Small Business,31,Male,Business Pro,1,2024-02-15,9,1,100,228
SD000163,2023-10-19,2023-10,App Store,Kano,Corporate,23,Male,Business Pro,1,2023-11-23,11,1,100,312
SD000164,2023-10-09,2023-10,App Store,Kano,Small Business,43,Male,Business Pro,1,2023-11-03,11,1,100,332
SD000165,2024-06-08,2024-06,Instagram,Lagos,Freelancer,36,Female,Starter,0,2024-06-12,3,1,100,110
SD000166,2024-05-27,2024-05,Referral,Lagos,Individual Sender,52,Male,Starter,0,2024-05-27,4,1,100,126
SD000167,2024-02-21,2024-02,Google Ads,Rivers,E-commerce Seller,47,Male,Business Pro,1,2024-03-20,7,1,100,194
SD000168,2024-07-06,2024-07,Google Ads,Kaduna,E-commerce Seller,26,Male,Starter,1,2024-07-25,2,1,61,67
SD000169,2024-05-27,2024-05,Facebook Ads,Lagos,Corporate,22,Female,Business Pro,1,2024-05-31,4,1,100,122
SD000170,2024-04-06,2024-04,Google Ads,Kano,Freelancer,49,Male,Starter,0,2024-04-07,5,1,100,176
SD000171,2023-11-23,2023-11,Instagram,Lagos,Individual Sender,30,Male,Starter,0,2023-11-27,10,1,100,308
SD000172,2024-02-15,2024-02,Instagram,Lagos,Small Business,38,Male,Starter,0,2024-02-15,7,1,100,228
SD000173,2024-04-06,2024-04,Word of Mouth,Lagos,Freelancer,53,Female,Starter,1,2024-06-13,5,1,100,109
SD000174,2023-10-08,2023-10,TikTok Ads,Oyo,E-commerce Seller,30,Female,Business Pro,1,2023-10-17,11,1,100,349
SD000175,2024-02-15,2024-02,Instagram,Lagos,Individual Sender,48,Female,Starter,1,2024-02-22,7,1,100,221
SD000176,2024-04-29,2024-04,Google Ads,Abuja,Small Business,36,Male,Starter,0,2024-05-04,5,1,100,149
SD000177,2024-03-23,2024-03,Facebook Ads,Lagos,Corporate,31,Male,Enterprise,1,2024-04-12,6,1,100,171
SD000178,2023-10-04,2023-10,Instagram,Imo,Small Business,55,Female,Business Pro,1,2024-09-19,12,0,28,11
SD000179,2024-06-04,2024-06,TikTok Ads,Abuja,Small Business,31,Male,Business Pro,1,2024-06-26,3,1,98,96
SD000180,2023-10-17,2023-10,Word of Mouth,Lagos,Corporate,21,Male,Enterprise,1,2023-11-11,11,1,100,324
SD000181,2024-05-11,2024-05,Google Ads,Lagos,Individual Sender,44,Male,Starter,1,2024-06-16,4,1,100,106
SD000182,2024-04-20,2024-04,TikTok Ads,Lagos,Individual Sender,28,Female,Starter,0,2024-04-20,5,1,100,163
SD000183,2024-03-07,2024-03,Instagram,Lagos,E-commerce Seller,26,Female,Business Pro,0,2024-03-09,6,1,100,205
SD000184,2024-03-07,2024-03,Word of Mouth,Lagos,Individual Sender,33,Male,Starter,1,2024-03-27,6,1,100,187
SD000185,2024-07-30,2024-07,Instagram,Lagos,Corporate,49,Female,Business Pro,1,2024-09-26,2,0,0,4
SD000186,2024-02-04,2024-02,Instagram,Lagos,Corporate,54,Male,Enterprise,1,2024-02-12,7,1,100,231
SD000187,2024-04-19,2024-04,Word of Mouth,Anambra,Corporate,26,Female,Business Pro,0,2024-04-20,5,1,100,163
SD000188,2023-10-14,2023-10,Google Ads,Lagos,Freelancer,27,Male,Starter,0,2024-06-26,11,1,100,96
SD000189,2024-07-26,2024-07,Google Ads,Abuja,Corporate,21,Male,Enterprise,1,2024-07-30,2,1,50,62
SD000190,2024-03-06,2024-03,TikTok Ads,Lagos,Corporate,46,Male,Enterprise,1,2024-03-09,6,1,100,205
SD000191,2024-05-18,2024-05,Instagram,Oyo,Small Business,37,Female,Business Pro,1,2024-06-06,4,1,100,116
SD000192,2023-12-06,2023-12,Referral,Lagos,Small Business,35,Male,Starter,0,2024-05-25,9,1,100,128
SD000193,2024-06-26,2024-06,Referral,Lagos,Small Business,29,Male,Starter,1,2024-09-18,3,0,6,12
SD000194,2024-06-10,2024-06,Referral,Oyo,Individual Sender,25,Male,Starter,1,2024-07-02,3,1,95,90
SD000195,2024-03-21,2024-03,Facebook Ads,Lagos,Freelancer,53,Male,Starter,0,2024-03-22,6,1,100,192
SD000196,2024-05-09,2024-05,Word of Mouth,Kaduna,E-commerce Seller,45,Female,Starter,1,2024-08-19,4,0,23,42
SD000197,2024-04-21,2024-04,TikTok Ads,Abuja,Freelancer,21,Female,Starter,1,2024-04-27,5,1,100,156
SD000198,2024-01-16,2024-01,Instagram,Abuja,Individual Sender,22,Male,Starter,0,2024-01-20,8,1,100,254
SD000199,2024-01-14,2024-01,Referral,Lagos,E-commerce Seller,45,Male,Business Pro,1,2024-02-11,8,1,100,232
SD000200,2024-05-06,2024-05,Instagram,Edo,Individual Sender,27,Female,Starter,1,2024-08-07,4,1,65,54
SD000201,2024-07-08,2024-07,Instagram,Edo,E-commerce Seller,29,Female,Starter,0,2024-07-12,2,1,87,80
SD000202,2024-07-27,2024-07,Word of Mouth,Oyo,Small Business,42,Male,Starter,1,2024-08-15,2,1,48,46
SD000203,2024-06-15,2024-06,Instagram,Lagos,Corporate,53,Male,Enterprise,0,2024-06-20,3,1,97,102
SD000204,2023-12-18,2023-12,Referral,Oyo,Individual Sender,30,Male,Starter,0,2023-12-20,9,1,100,285
SD000205,2024-05-19,2024-05,App Store,Lagos,Individual Sender,28,Female,Starter,0,2024-05-19,4,1,100,134
SD000206,2024-06-29,2024-06,Google Ads,Imo,Small Business,24,Male,Starter,1,2024-07-31,3,1,58,61
SD000207,2023-10-01,2023-10,Google Ads,Imo,Small Business,46,Female,Business Pro,1,2023-10-25,12,1,100,341
SD000208,2024-02-15,2024-02,Referral,Abuja,Small Business,45,Female,Business Pro,0,2024-02-17,7,1,100,226
SD000209,2023-12-14,2023-12,App Store,Lagos,Small Business,53,Male,Business Pro,1,2023-12-21,9,1,100,284
SD000210,2024-05-20,2024-05,Instagram,Rivers,Small Business,21,Female,Starter,1,2024-06-02,4,1,100,120
SD000211,2024-05-21,2024-05,Google Ads,Kaduna,Individual Sender,46,Male,Starter,1,2024-06-02,4,1,100,120
SD000212,2024-02-08,2024-02,Referral,Oyo,Freelancer,43,Female,Starter,0,2024-02-13,7,1,100,230
SD000213,2023-10-21,2023-10,Facebook Ads,Kano,Small Business,27,Female,Business Pro,1,2023-10-28,11,1,100,338
SD000214,2024-03-07,2024-03,Referral,Lagos,Individual Sender,23,Female,Starter,1,2024-06-21,6,1,94,101
SD000215,2024-08-12,2024-08,Instagram,Kano,Freelancer,26,Male,Starter,0,2024-08-14,1,1,71,47
SD000216,2024-02-27,2024-02,Google Ads,Rivers,E-commerce Seller,26,Male,Business Pro,1,2024-03-12,7,1,100,202
SD000217,2024-05-10,2024-05,TikTok Ads,Rivers,Small Business,33,Male,Starter,1,2024-06-05,4,1,100,117
SD000218,2024-05-08,2024-05,Word of Mouth,Kaduna,Corporate,40,Male,Enterprise,1,2024-05-10,4,1,100,143
SD000219,2023-10-15,2023-10,Facebook Ads,Edo,Small Business,38,Male,Starter,1,2024-06-24,11,1,97,98
SD000220,2024-03-11,2024-03,Word of Mouth,Lagos,Corporate,38,Male,Enterprise,1,2024-06-18,6,1,76,104
SD000221,2023-10-15,2023-10,TikTok Ads,Lagos,Individual Sender,39,Female,Starter,1,2024-05-04,11,1,100,149
SD000222,2024-08-31,2024-08,Word of Mouth,Lagos,Corporate,37,Female,Enterprise,1,2024-09-11,1,0,0,19
SD000223,2023-11-13,2023-11,Instagram,Abuja,Corporate,32,Male,Business Pro,1,2023-12-11,10,1,100,294
SD000224,2024-08-16,2024-08,Google Ads,Rivers,Individual Sender,21,Male,Starter,0,2024-08-19,1,0,70,42
SD000225,2024-06-13,2024-06,Referral,Edo,Individual Sender,50,Male,Starter,0,2024-06-13,3,1,100,109
SD000226,2024-03-24,2024-03,Instagram,Kano,E-commerce Seller,44,Female,Business Pro,1,2024-05-17,6,1,100,136
SD000227,2023-11-01,2023-11,Referral,Delta,Freelancer,44,Male,Starter,0,2023-11-03,11,1,100,332
